project_type,budget,planned_duration_days,worker_count,task_count,location_type,has_subcontractors,snapshot_progress_pct,actual_cost_at_snapshot,cpi,spi,delayed_task_count,delayed_task_ratio,labour_ratio,material_ratio,months_elapsed,budget_used_pct,schedule_efficiency,overrun_pct
0,8299393.02,99,7,15,1,0,35.03,2632032.44,1.1045,1.1035,4,0.2438,0.3723,0.4871,1,31.71,35.0278,-4.8189
0,40623071.57,2068,27,209,1,1,62.86,29305494.24,0.8714,0.9292,6,0.0282,0.3773,0.3123,43,72.14,1.4618,6.1499
1,442441114.45,2373,147,239,0,1,43.14,205285115.08,0.9298,0.8157,71,0.2952,0.2637,0.4626,34,46.4,1.2688,6.196
2,578860110.5,559,71,72,0,1,71.64,879588644.64,0.4715,0.8666,2,0.031,0.2508,0.6088,13,151.95,5.511,169.6355
1,616467976.41,2224,205,222,1,1,50.03,491198516.19,0.6279,0.7923,45,0.2033,0.2717,0.5185,37,79.68,1.3522,82.0674
1,51708792.0,1261,17,126,0,1,32.09,17601450.88,0.9427,0.8831,7,0.0524,0.3492,0.4668,13,34.04,2.4685,7.1551
2,367619143.47,360,140,50,2,1,90.42,323499237.9,1.0275,0.6957,13,0.2599,0.2421,0.4088,10,88.0,9.0417,61.8142
1,229683588.61,2409,76,241,0,1,54.23,175305797.97,0.7106,0.8823,62,0.2561,0.1608,0.3599,43,76.32,1.2612,39.3212
0,19388543.8,147,10,20,2,1,48.43,13165795.93,0.7132,1.0814,2,0.1029,0.4072,0.3975,2,67.91,24.2134,45.9131
1,40076875.0,997,13,99,0,1,56.09,17592249.73,1.2779,1.0732,0,0.0,0.3727,0.5811,18,43.9,3.1163,-20.0
1,34327283.93,1084,11,106,0,1,67.48,31051524.34,0.746,0.8377,28,0.2605,0.1924,0.427,24,90.46,2.8115,42.9732
1,44051857.94,1829,14,181,0,1,63.69,23149481.9,1.2119,1.1212,0,0.0,0.2687,0.448,38,52.55,1.676,-20.0
1,40076875.0,997,13,99,0,1,81.02,25489385.42,1.2739,1.0417,0,0.0,0.349,0.4867,26,63.6,3.1162,-20.0
1,274302548.0,2021,91,202,0,1,65.79,253701766.84,0.7113,0.9636,0,0.0,0.2756,0.4591,44,92.49,1.4951,31.587
2,591351323.13,214,75,23,1,1,31.18,144123072.57,1.2792,0.7276,2,0.0855,0.201,0.5801,2,24.37,15.588,41.3423
1,9237333.65,243,45,35,2,1,80.59,5866018.35,1.2691,0.9393,8,0.2346,0.19,0.5791,6,63.5,13.4321,11.6208
2,163654768.0,2015,32,199,0,1,35.29,68455824.1,0.8437,0.8685,44,0.223,0.2939,0.4297,23,41.83,1.5343,11.1173
1,177680609.4,2247,59,223,0,1,58.85,144057596.28,0.7259,0.8608,72,0.3242,0.234,0.4928,44,81.08,1.3376,49.6938
1,152851665.76,427,21,51,0,1,51.14,66770574.98,1.1708,0.4596,7,0.1466,0.271,0.5174,7,43.68,7.3064,50.5315
0,4566766.12,197,12,28,0,0,57.26,2547734.18,1.0263,0.9854,7,0.2503,0.3884,0.3985,3,55.79,19.0851,3.1366
1,17516345.88,280,24,39,2,1,78.72,10763553.36,1.281,1.0174,4,0.098,0.309,0.5222,7,61.45,11.2451,12.4151
1,663187402.0,2634,221,263,0,1,88.73,952199137.21,0.618,0.8475,63,0.2403,0.3083,0.5532,77,143.58,1.1523,56.9878
0,1431594.36,37,8,5,1,1,47.55,502759.15,1.354,0.7248,0,0.0116,0.3704,0.4803,1,35.12,47.5505,-15.2496
1,27383910.0,1041,10,105,1,1,88.86,38929018.57,0.6251,0.7672,36,0.3455,0.2537,0.4808,30,142.16,2.962,53.061
0,34468711.82,827,22,84,0,1,66.79,28119789.34,0.8187,0.9641,3,0.0395,0.5339,0.3558,18,81.58,3.7107,14.0024
1,187021254.04,407,53,52,1,1,82.55,205143785.96,0.7525,1.0395,19,0.3697,0.3416,0.5265,11,109.69,7.5043,54.0783
2,413297776.0,487,82,47,0,1,44.83,287163319.82,0.6453,0.9512,3,0.0696,0.2412,0.6612,7,69.48,6.4049,27.854
2,237812604.91,589,108,71,0,1,35.8,68820485.48,1.2371,0.9092,7,0.1034,0.2261,0.4695,7,28.94,5.1143,17.767
2,492949234.61,895,139,115,0,1,66.63,351255929.32,0.9351,0.7521,26,0.2296,0.2229,0.5268,19,71.26,3.5071,78.1623
2,528288439.86,600,72,80,2,1,39.35,166418568.84,1.2491,1.1143,11,0.1423,0.12,0.5414,7,31.5,5.6213,43.748
1,39454595.81,805,13,81,0,1,71.59,38312512.88,0.7372,0.8844,2,0.0219,0.3845,0.5257,19,97.11,3.7679,21.8778
2,952474298.09,167,107,24,1,1,72.4,868752848.07,0.7938,0.814,1,0.0583,0.2924,0.5126,4,91.21,18.101,72.7835
0,11307552.12,69,11,13,1,1,72.23,6996853.16,1.1673,0.7428,1,0.0653,0.4509,0.4372,1,61.88,72.2301,16.048
2,68914237.0,990,20,99,2,1,40.26,25217762.76,1.1003,0.9919,0,0.0,0.1889,0.634,13,36.59,3.0971,-20.0
0,29121583.67,190,4,26,1,1,90.92,25257436.56,1.0483,1.226,12,0.4595,0.4621,0.4898,5,86.73,18.184,26.2523
1,187136909.84,528,34,71,2,1,72.81,198002852.91,0.6881,0.9569,23,0.3206,0.3331,0.5211,12,105.81,6.0673,85.4772
1,27748093.72,1514,10,153,0,1,25.3,6379514.51,1.1003,0.8178,35,0.2285,0.276,0.4347,12,22.99,2.1082,-10.1625
1,55704414.42,3247,18,325,2,1,53.51,29757066.54,1.0017,0.9205,48,0.1487,0.428,0.4957,57,53.42,0.9388,4.4686
0,2875651.15,88,3,15,0,0,78.21,2331429.95,0.9647,1.1888,3,0.1742,0.3859,0.311,2,81.07,39.1063,15.3116
1,187669691.03,2499,62,248,0,1,87.9,216205607.33,0.763,0.8908,26,0.1039,0.2302,0.5113,73,115.21,1.2041,23.3265
2,669768734.97,659,38,83,2,1,74.81,476099107.14,1.0524,0.7555,24,0.2941,0.3098,0.5335,16,71.08,4.6756,47.0588
0,62420485.81,1624,41,166,2,1,31.78,19757158.96,1.0039,1.141,0,0.0,0.2749,0.4315,17,31.65,1.8692,3.4828
0,65536046.33,1928,43,194,0,1,29.21,16841112.17,1.1365,1.0606,0,0.0,0.3726,0.3234,18,25.7,1.6225,-20.0
2,34024864.94,332,20,31,0,1,80.37,36712728.81,0.7448,0.9701,0,0.0117,0.2401,0.623,8,107.9,10.0461,30.6774
0,3996567.83,97,6,17,1,0,40.64,1402295.12,1.1581,0.7978,3,0.159,0.3774,0.5965,1,35.09,40.6362,17.1923
2,492700225.42,249,123,32,1,1,45.24,216448579.45,1.0298,1.2079,5,0.1542,0.2734,0.6236,3,43.93,15.0802,41.4513
2,42910143.94,828,20,83,1,1,63.02,32564019.29,0.8304,1.0885,0,0.0,0.2464,0.6489,17,75.89,3.7068,22.554
2,666345383.82,517,88,62,1,1,54.72,303840435.5,1.2001,0.9286,10,0.1632,0.3243,0.5577,9,45.6,6.0805,19.4503
2,175268932.5,1850,35,189,1,1,39.19,141913451.23,0.484,0.7754,51,0.2687,0.3386,0.5855,24,80.97,1.6329,78.346
2,37573800.11,1519,20,153,0,1,68.7,73755831.23,0.35,0.5189,83,0.5434,0.2341,0.6253,34,196.3,2.0207,148.0773
1,39525537.09,1100,13,108,0,1,45.61,30081942.66,0.5993,0.8989,22,0.2055,0.3278,0.4167,16,76.11,2.8505,77.0936
1,134136047.0,94,33,12,1,1,33.28,36839282.97,1.2118,0.9908,5,0.3814,0.2218,0.4513,1,27.46,33.2812,16.7328
1,34670407.0,881,11,87,1,1,31.91,10453742.73,1.0584,1.0442,0,0.0,0.3442,0.3723,9,30.15,3.5458,4.2672
1,162628003.0,1485,54,152,1,1,73.47,166327175.25,0.7184,0.8383,46,0.3052,0.2446,0.4269,36,102.27,2.0408,27.3947
2,239749705.27,654,84,79,1,1,67.78,136401049.84,1.1914,0.9987,22,0.2806,0.3245,0.5713,14,56.89,4.8417,25.8919
1,168201838.42,2191,56,223,0,1,81.98,188960584.03,0.7298,0.9898,17,0.0747,0.3174,0.511,59,112.34,1.3896,27.3845
1,51696518.49,1206,17,123,0,1,90.89,77777167.7,0.6041,0.8879,31,0.255,0.2851,0.5307,36,150.45,2.5246,55.4116
1,52885929.4,1408,17,140,0,1,40.39,32288829.05,0.6616,0.9033,25,0.176,0.2739,0.4826,18,61.05,2.244,26.6494
1,129793326.54,2920,43,292,1,1,71.81,112131530.81,0.8312,0.8944,36,0.1217,0.3011,0.4976,69,86.39,1.0407,20.9039
1,11567194.2,363,19,45,1,1,86.04,12417692.61,0.8015,0.9417,28,0.631,0.2245,0.5101,10,107.35,8.604,72.052
1,8363017.52,536,25,69,0,1,61.35,5099319.95,1.0062,1.0359,4,0.061,0.226,0.4016,10,60.97,6.1352,34.8735
1,30743932.0,1322,10,131,0,1,44.22,18010763.91,0.7548,0.9129,13,0.1028,0.368,0.582,19,58.58,2.3273,29.9482
1,154013709.98,172,45,22,2,1,47.33,70924260.25,1.0278,0.8569,2,0.0913,0.2791,0.6095,2,46.05,23.6656,19.9355
1,134513148.64,1097,44,107,0,1,62.55,111864631.58,0.7521,1.0014,2,0.0167,0.3375,0.4417,22,83.16,2.843,34.0471
0,65084017.0,1514,43,154,0,1,76.31,40387168.43,1.2298,1.1105,0,0.0,0.3529,0.4307,38,62.05,2.0082,-17.1404
0,22850496.94,184,6,26,2,0,60.79,10761924.79,1.2907,1.2798,10,0.3884,0.4616,0.4149,3,47.1,20.2632,-20.0
2,357562432.15,267,89,34,0,1,82.21,261018307.53,1.1262,0.7869,6,0.1808,0.12,0.6622,7,73.0,11.7441,38.6428
0,53799517.0,1073,35,106,0,1,72.06,54487852.31,0.7115,0.8438,18,0.1694,0.3459,0.448,25,101.28,2.8826,66.0581
1,36683848.0,1245,12,128,0,1,59.1,23132688.3,0.9372,0.7784,43,0.3359,0.1876,0.4009,24,63.06,2.4625,12.5592
1,39818752.05,1259,13,126,0,1,41.4,18242004.64,0.9036,0.7965,23,0.1813,0.2272,0.5006,17,45.81,2.4351,26.0806
2,163654768.0,2015,32,199,0,1,30.03,48990746.18,1.003,0.7738,72,0.3618,0.2467,0.4665,20,29.94,1.5013,11.1173
1,36310638.74,1393,12,142,0,1,27.53,6706380.72,1.4903,1.1013,0,0.0,0.2623,0.5,12,18.47,2.2938,-20.0
0,13605296.79,47,11,7,0,0,29.82,4398476.8,0.9225,1.0408,3,0.4668,0.3571,0.4143,1,32.33,29.823,47.8233
1,195665448.35,440,36,55,2,1,39.48,118162565.96,0.6538,0.9132,11,0.1979,0.3802,0.388,5,60.39,7.8967,88.6151
0,11598525.49,158,14,20,0,0,26.93,3566251.68,0.8758,0.944,6,0.2778,0.44,0.5331,1,30.75,26.9282,48.1645
1,51696518.49,1206,17,123,0,1,72.04,60242587.91,0.6182,0.8685,34,0.2773,0.3348,0.3937,28,116.53,2.5729,55.4116
1,199743120.42,129,18,19,1,1,40.57,72866221.02,1.1122,0.8886,3,0.1511,0.195,0.6126,1,36.48,40.5737,20.8266
1,116034147.9,124,28,19,2,1,50.57,52030804.2,1.1278,0.9414,2,0.1236,0.3613,0.5992,2,44.84,25.2863,6.5728
2,923890301.71,635,94,76,0,1,76.44,605936457.84,1.1655,0.9641,12,0.158,0.3286,0.6152,16,65.59,4.7774,43.2334
1,70814216.14,1667,23,167,0,1,38.51,31683152.63,0.8608,0.9278,15,0.0871,0.2937,0.4945,21,44.74,1.834,15.5682
1,190591792.0,399,45,47,1,1,30.58,102475606.85,0.5688,0.9005,10,0.2072,0.1509,0.4058,4,53.77,7.6462,100.3266
1,50782315.51,1303,16,130,0,1,79.28,49050536.0,0.8208,0.8771,27,0.2053,0.2384,0.5027,34,96.59,2.3319,25.7279
2,28932013.37,2160,20,214,2,1,30.55,21883430.68,0.4039,0.5709,121,0.5666,0.1992,0.6156,21,75.64,1.4548,144.5891
0,10338805.51,147,8,16,1,0,59.09,4796879.59,1.2737,0.983,1,0.0348,0.2955,0.3847,2,46.4,29.5469,-20.0
2,565330939.0,2783,113,279,1,1,53.05,464518069.76,0.6456,0.6805,114,0.4079,0.3389,0.4979,49,82.17,1.0826,77.4998
1,405028868.38,2128,135,213,2,1,46.19,248156265.12,0.7538,0.9494,47,0.2216,0.3134,0.6003,32,61.27,1.4433,17.0473
1,158563349.17,2146,52,215,0,1,29.45,54405812.24,0.8583,0.7235,71,0.3289,0.2816,0.4657,21,34.31,1.4023,66.9518
0,20410629.78,54,6,7,0,1,33.47,9267727.79,0.7372,1.1056,1,0.091,0.2705,0.3691,1,45.41,33.4733,67.8332
1,177470809.39,542,39,70,1,1,33.21,66953623.92,0.8801,1.2474,1,0.0168,0.1926,0.4027,5,37.73,6.641,41.5274
0,73001109.71,1742,48,176,0,1,52.37,42628680.91,0.8968,0.959,0,0.0,0.3607,0.495,30,58.39,1.7457,16.9137
2,617298772.51,638,148,79,0,1,47.25,402651015.47,0.7243,1.1243,11,0.1372,0.1521,0.5532,10,65.23,4.7248,72.4149
0,19273133.04,139,13,19,0,0,43.5,8204040.68,1.022,0.8579,3,0.165,0.3954,0.5383,2,42.57,21.7524,7.3153
0,25014140.19,58,9,8,1,0,86.87,24411477.83,0.8901,0.9662,1,0.1611,0.4251,0.4426,1,97.59,86.8674,11.5645
1,93658374.69,374,50,43,0,1,33.32,36419355.09,0.8569,0.8403,1,0.0334,0.3819,0.4574,4,38.89,8.3303,47.3845
1,29416594.77,938,10,92,0,1,81.68,47724761.47,0.5035,0.8295,13,0.1463,0.3529,0.5495,25,162.24,3.2673,80.5274
0,12111513.61,100,9,10,1,1,62.96,6600406.5,1.1554,0.9415,4,0.366,0.3439,0.5188,2,54.5,31.4822,11.0104
1,279663837.15,1923,93,190,1,1,33.44,200804031.81,0.4658,0.8151,46,0.2439,0.2218,0.4964,21,71.8,1.5926,74.5727
2,589659846.92,584,39,78,0,1,52.92,244407841.65,1.2766,0.7731,24,0.3136,0.2452,0.5087,10,41.45,5.2915,44.7865
2,824343831.15,890,73,113,0,1,91.15,1125160322.8,0.6678,0.7104,4,0.0341,0.2517,0.494,27,136.49,3.3759,107.466
0,11628159.18,198,11,23,0,0,48.29,4729352.02,1.1874,0.6908,2,0.1065,0.3842,0.3652,3,40.67,16.0977,-7.1961
0,14956624.18,87,14,11,2,0,43.45,7393915.18,0.879,0.6804,4,0.341,0.5008,0.425,1,49.44,43.4527,46.9681
1,131753659.13,1899,43,188,0,1,45.02,57912404.48,1.0242,1.0062,0,0.0,0.3272,0.5863,28,43.96,1.6077,13.0158
1,27681676.51,1706,10,169,1,1,47.75,14251693.67,0.9275,0.8894,28,0.1639,0.3034,0.6211,27,51.48,1.7686,30.4653
2,306107269.05,534,114,63,0,1,35.0,80206637.88,1.3356,0.8689,2,0.0385,0.2288,0.494,6,26.2,5.8327,17.3626
1,65294183.85,1022,21,103,0,1,26.32,16462273.57,1.044,1.1254,0,0.0,0.256,0.3995,8,25.21,3.2901,3.0064
1,53253217.78,257,36,36,0,1,82.1,33338792.05,1.3114,1.0895,8,0.2316,0.2016,0.4643,7,62.6,11.7282,-1.8706
1,106273825.97,333,26,42,1,1,86.57,230011183.32,0.4,0.8704,5,0.1139,0.3405,0.417,9,216.43,9.6192,184.7199
1,32759566.92,1401,10,142,0,1,81.26,38641366.66,0.6889,0.8837,17,0.1183,0.2135,0.507,37,117.95,2.1961,50.3582
2,152194720.0,495,30,50,0,1,63.3,146281093.07,0.6585,0.6247,20,0.4014,0.3166,0.645,10,96.11,6.3295,83.8283
1,1350091538.49,2029,450,206,0,1,84.74,884935695.53,1.2929,1.134,0,0.0,0.277,0.6023,57,65.55,1.4867,-17.7278
2,48011876.55,1295,20,132,0,1,79.54,46046399.65,0.8293,0.8319,23,0.1747,0.2332,0.4901,34,95.91,2.3393,23.1944
2,226125571.45,1235,45,125,1,1,87.5,234251360.87,0.8446,0.9505,7,0.0574,0.1998,0.5963,36,103.59,2.4305,15.7963
1,53214779.38,1711,17,169,0,1,36.5,17746719.06,1.0945,1.0124,0,0.0,0.2463,0.5509,20,33.35,1.825,-5.9742
2,151838206.49,747,128,91,2,1,59.81,162975323.12,0.5572,0.9252,5,0.0557,0.3623,0.4564,14,107.33,4.2719,115.1741
2,94500369.52,515,112,64,2,1,44.46,36459970.6,1.1523,0.9047,3,0.0474,0.19,0.5535,7,38.58,6.351,28.6753
1,63309242.49,1260,21,124,0,1,61.56,45568793.58,0.8552,0.9279,15,0.1242,0.3805,0.4151,25,71.98,2.4623,4.8505
1,197450001.54,439,41,58,0,1,62.54,200552419.33,0.6157,1.1025,5,0.0901,0.2286,0.6353,9,101.57,6.9489,96.2355
1,189215062.7,517,32,63,0,1,62.93,184450700.07,0.6455,1.1525,22,0.3456,0.4322,0.4693,10,97.48,6.2926,77.9414
2,120228419.72,1406,24,142,2,1,72.31,94663209.28,0.9184,1.1317,0,0.0,0.3427,0.5363,33,78.74,2.1912,4.505
1,32797095.0,931,10,96,1,1,27.36,17172899.9,0.5226,0.9942,1,0.0144,0.3675,0.5969,8,52.36,3.4205,60.8604
2,52373824.46,2098,20,213,1,1,67.71,39221817.22,0.9041,1.0471,0,0.0,0.3195,0.5225,47,74.89,1.4406,1.8239
0,126987874.7,1413,84,140,0,1,73.98,131869804.34,0.7124,0.8976,26,0.1865,0.3175,0.4014,34,103.84,2.1759,23.2466
1,64564988.02,426,35,52,2,1,57.4,33085903.85,1.12,0.9874,7,0.1427,0.2682,0.4685,8,51.24,7.1744,24.5939
2,41646219.76,1211,20,123,0,1,62.67,28889900.21,0.9034,0.9072,19,0.1532,0.2369,0.5667,25,69.37,2.5068,17.1045
1,227007508.37,1487,75,146,0,1,38.1,109100079.09,0.7927,0.7403,38,0.2582,0.2708,0.5294,18,48.06,2.1165,53.2543
1,91015156.64,523,24,67,1,1,59.79,62971337.62,0.8642,0.8565,23,0.3443,0.4065,0.4998,10,69.19,5.9793,70.2799
0,55441302.0,2011,36,203,0,1,43.15,25903053.54,0.9235,1.0075,0,0.0,0.4229,0.408,28,46.72,1.541,0.3474
2,1870679349.39,846,374,85,0,1,56.27,1231223992.49,0.855,0.9662,0,0.004,0.2639,0.5582,15,65.82,3.7514,25.6327
1,131668599.29,1861,43,188,0,1,67.73,127612225.69,0.6988,0.8909,54,0.2893,0.3835,0.4403,42,96.92,1.6127,31.0227
1,172386736.08,965,57,97,0,1,53.94,112689240.77,0.8252,0.895,11,0.1119,0.3055,0.3655,17,65.37,3.173,26.7233
0,50682193.7,886,33,92,0,1,40.55,21089511.48,0.9744,1.0033,0,0.0,0.3362,0.5057,11,41.61,3.686,2.6384
2,656436343.82,150,135,21,1,1,46.25,272556614.0,1.1138,1.1406,2,0.0724,0.1428,0.628,2,41.52,23.1227,37.5845
2,144446627.61,187,112,23,1,1,44.94,86382635.03,0.7515,0.8126,2,0.089,0.2254,0.5804,2,59.8,22.4706,81.8577
2,45833987.58,534,101,68,0,1,26.0,18156308.58,0.6564,1.2217,31,0.458,0.2882,0.5066,4,39.61,6.5007,103.5357
2,28965028.88,1830,20,184,1,1,58.51,29339354.29,0.5777,0.8795,24,0.1289,0.4217,0.5609,35,101.29,1.6718,44.3695
0,12548078.73,133,9,16,1,1,45.32,4622969.8,1.2302,0.9284,4,0.2465,0.3755,0.4021,2,36.84,22.6608,-2.4548
0,5260025.84,115,9,14,1,0,29.34,1143761.63,1.3492,0.9021,2,0.1172,0.3252,0.3449,1,21.74,29.3385,-20.0
1,31397378.01,1336,10,133,0,1,86.04,30240004.78,0.8933,0.9289,4,0.0304,0.3676,0.5019,38,96.31,2.2642,9.8364
1,49947092.06,501,37,67,0,1,81.9,60611052.06,0.6749,1.116,14,0.2125,0.232,0.3994,13,121.35,6.3,86.2117
2,434638287.65,557,98,67,0,1,89.16,278839194.9,1.3898,1.0569,8,0.1168,0.2899,0.5782,16,64.15,5.5724,16.2206
1,227007508.37,1487,75,146,0,1,64.25,178682267.77,0.8162,0.8616,34,0.2331,0.2707,0.487,31,78.71,2.0725,53.2543
1,126512105.0,1589,42,159,2,1,75.1,116125976.14,0.8182,1.0338,0,0.0,0.3167,0.4037,39,91.79,1.9257,23.2012
2,34126688.76,833,20,87,0,1,46.54,32226096.35,0.4929,0.6171,53,0.608,0.3631,0.6893,12,94.43,3.8787,112.8235
0,50682193.7,886,33,92,0,1,38.23,20150378.2,0.9614,0.8777,19,0.2045,0.2974,0.416,11,39.76,3.4751,2.6384
1,1350091538.49,2029,450,206,0,1,84.68,925288554.66,1.2356,1.1253,0,0.0,0.2265,0.4042,57,68.54,1.4857,-17.7278
1,68263358.75,1825,22,183,0,1,36.16,19868420.7,1.2425,1.088,0,0.0,0.2339,0.4416,22,29.11,1.6438,-11.4624
2,371951804.88,212,76,27,0,1,54.96,279630874.54,0.731,1.0023,4,0.1373,0.1782,0.5564,3,75.18,18.3199,79.6038
0,12983344.23,128,6,20,1,0,58.25,8489636.07,0.8908,1.0134,11,0.5257,0.4689,0.5756,2,65.39,29.1235,40.6931
1,42549996.48,340,41,44,0,1,50.89,15933675.01,1.3591,0.521,13,0.297,0.3144,0.72,5,37.45,10.1786,25.8426
2,172324356.1,201,118,30,1,1,81.52,187698687.83,0.7485,1.1247,8,0.2777,0.1417,0.4967,5,108.92,16.3047,90.9833
2,429250452.11,337,76,46,1,1,56.02,350391777.66,0.6863,1.1608,12,0.262,0.389,0.465,6,81.63,9.3365,75.4178
0,61723637.28,991,41,97,0,1,67.02,58243073.39,0.7102,0.8647,16,0.1606,0.2087,0.4355,22,94.36,3.0462,28.5072
2,187451781.82,164,105,22,2,1,45.79,129921358.8,0.6606,0.6371,5,0.2439,0.2828,0.6259,2,69.31,22.8945,123.0018
0,13703642.09,45,4,5,0,1,69.06,8589698.88,1.1018,0.8468,2,0.3324,0.3823,0.3695,1,62.68,69.0603,28.9387
1,162615431.44,339,43,43,0,1,36.32,55234648.45,1.0692,0.7112,16,0.3806,0.2737,0.5041,4,33.97,9.0791,46.9998
2,60014030.69,498,83,59,2,1,61.02,35965448.9,1.0183,1.0027,5,0.0928,0.2269,0.4616,10,59.93,6.1023,30.3873
1,210833038.0,1743,70,178,0,1,81.42,297180603.22,0.5777,0.6976,71,0.3988,0.3749,0.4239,47,140.96,1.7324,70.5972
1,27335843.04,1317,10,130,0,1,74.89,17319726.17,1.182,0.9564,5,0.036,0.3869,0.4973,32,63.36,2.3404,-20.0
1,32128671.0,2063,10,208,1,1,51.07,21450346.48,0.7649,0.8253,40,0.1908,0.375,0.4571,35,66.76,1.459,24.4326
0,92187554.9,2510,61,250,0,1,48.45,51706304.51,0.8639,0.9933,8,0.0306,0.3457,0.4074,40,56.09,1.2113,24.79
1,179617097.36,318,52,40,2,1,26.03,39970292.19,1.1697,1.1959,7,0.1639,0.3289,0.4141,2,22.25,13.0145,10.7685
2,98135952.22,599,66,79,0,1,81.23,68345107.98,1.1664,0.8679,14,0.1746,0.3235,0.5624,16,69.64,5.0769,38.6802
1,37989274.04,1132,12,116,0,1,39.99,16021424.0,0.9482,0.9396,16,0.1339,0.182,0.483,15,42.17,2.6659,12.4737
2,44450172.5,640,20,65,2,1,79.63,60548862.73,0.5846,0.8236,14,0.2178,0.3191,0.5198,16,136.22,4.9767,70.9372
1,115454236.31,133,46,14,1,1,85.39,72502228.37,1.3598,0.8583,3,0.1942,0.3136,0.4681,3,62.8,28.4638,13.9059
2,41446904.0,585,20,58,0,1,52.84,53495065.11,0.4094,0.4407,38,0.65,0.2217,0.5589,10,129.07,5.2839,159.5979
1,376452420.97,2579,125,260,0,1,35.29,166446850.33,0.7982,0.8092,18,0.0702,0.2674,0.6694,30,44.21,1.1764,15.2537
1,348587197.51,2468,116,245,2,1,52.59,211191860.08,0.8681,0.9698,30,0.1207,0.3305,0.5137,43,60.59,1.2231,1.4648
1,169880054.51,1847,56,186,0,1,91.35,230482291.36,0.6733,0.8401,55,0.2966,0.246,0.4589,56,135.67,1.6312,50.2524
0,11640044.65,120,10,15,1,0,38.71,3655830.05,1.2324,0.949,1,0.0722,0.347,0.3955,1,31.41,38.7052,-20.0
1,52873442.72,1752,17,173,0,1,82.88,73764736.07,0.5941,0.7374,61,0.3537,0.354,0.5765,48,139.51,1.7266,93.1756
2,52816501.61,2860,20,289,1,1,36.42,54954062.99,0.35,0.6354,127,0.4408,0.2627,0.5538,34,104.05,1.0711,131.3488
1,31297422553.64,1327,500,136,0,1,31.34,10835172419.53,0.9053,0.896,28,0.2081,0.2854,0.4562,13,34.62,2.4109,1.5987
2,31218111.42,958,20,93,0,1,45.86,36162878.31,0.3959,0.6086,45,0.4832,0.12,0.5337,14,115.84,3.2757,103.2539
0,12788340.69,114,10,19,0,1,91.19,9163980.71,1.2725,0.6642,3,0.1754,0.4425,0.4516,3,71.66,30.3959,6.1593
2,86286179.81,966,20,100,0,1,55.21,70320872.82,0.6775,0.6702,38,0.3792,0.12,0.5163,17,81.5,3.2478,77.3805
1,133866969.97,433,45,57,2,1,53.11,129973590.72,0.547,0.6292,6,0.1064,0.2816,0.5083,7,97.09,7.5867,111.644
1,47509128.09,319,21,37,0,1,61.4,24198892.17,1.2054,0.8978,10,0.2702,0.2848,0.4148,6,50.94,10.2331,14.0397
0,3505454.18,154,8,17,1,0,67.68,2696713.34,0.8797,1.0734,7,0.4122,0.3901,0.4538,3,76.93,22.5592,45.3753
1,60672626.0,267,45,32,1,1,29.83,16441405.41,1.1009,1.0039,11,0.3495,0.3622,0.4188,2,27.1,14.916,31.05
2,111882807.29,777,107,101,1,1,36.83,37780564.33,1.0907,1.1757,10,0.0968,0.3669,0.578,9,33.77,4.0921,31.7402
2,766540170.07,858,92,111,1,1,63.84,453699673.89,1.0787,0.9236,16,0.1419,0.1846,0.652,18,59.19,3.5469,47.1376
1,47962929.21,529,36,67,1,1,86.9,46587542.87,0.8946,0.77,23,0.3415,0.2356,0.4576,15,97.13,5.793,52.064
0,3520123.29,71,9,10,0,1,81.81,2995635.93,0.9614,0.8462,0,0.045,0.3626,0.4141,1,85.1,81.8139,50.0063
2,86286179.81,966,20,100,0,1,85.82,135647319.66,0.5459,0.7448,40,0.3982,0.3016,0.5554,27,157.21,3.1784,77.3805
2,28567647.7,869,20,86,0,1,60.14,30041652.39,0.5718,0.6644,43,0.5054,0.3793,0.6397,17,105.16,3.5374,70.3967
0,32062887.65,1136,21,112,0,1,50.83,25871404.01,0.63,0.7573,43,0.3869,0.473,0.3723,19,80.69,2.6754,61.7366
0,13077473.48,71,15,5,0,0,86.49,10241028.26,1.1045,0.8471,1,0.1785,0.4675,0.48,2,78.31,43.2462,8.8875
0,1888639.76,122,12,12,0,0,67.61,1287980.5,0.9914,1.0151,3,0.2221,0.2451,0.2506,2,68.2,33.8047,8.5631
1,163618799.86,1478,54,148,0,1,75.48,173800654.74,0.7106,0.9551,24,0.1593,0.368,0.4341,37,106.22,2.0401,41.2705
1,55415916.8,1013,18,104,0,1,55.3,24176673.07,1.2676,0.9566,4,0.0364,0.2689,0.5325,18,43.63,3.0723,-20.0
2,82203266.28,1825,20,182,0,1,68.81,71559351.39,0.7905,1.0181,0,0.0,0.1563,0.5881,41,87.05,1.6783,21.8858
1,38838191.0,1155,12,113,0,1,65.2,42970360.91,0.5893,0.8689,21,0.1819,0.36,0.3603,25,110.64,2.6079,82.0613
1,51696518.49,1206,17,123,0,1,85.02,75887824.03,0.5792,0.8152,28,0.2241,0.1967,0.5574,34,146.79,2.5005,55.4116
1,53843748.75,1386,17,136,0,1,64.45,31725694.1,1.0938,0.9433,19,0.1382,0.4108,0.4819,29,58.92,2.2223,-1.1574
1,158513935.16,205,26,22,1,1,56.98,83975787.81,1.0755,0.8207,2,0.1054,0.3782,0.4994,3,52.98,18.9917,17.8954
